Description,Remaining_Stock,Remaining_Inventory_Value
(RI) 1,61.0,2134.39
10 Span Cab Svgn CC,5.0,37.45
1000 Stories Znfdl,1.0,15.99
13 Celsius Svgn Bl,89.0,978.11
14 Hands Cab Svgn Wash,963.0,8657.37
14 Hands Chard Wash,284.0,2553.16
14 Hands Hot to Trot Red,828.0,6615.72
14 Hands Hot to Trot White,33.0,296.67
14 Hands Merlot Wash,701.0,6301.99
14 Hands Pinot Grigio,136.0,1086.64
14 Hands Red Blend Stampede,58.0,579.42
14 Hands Svgn Bl,68.0,611.32
1792 Small Batch Bourbon,197.0,5317.03
1800 Anejo Tequila,47.0,1973.53
1800 Coconut Tequila,858.0,7383.219999999999
1800 Raspberry Margarita RTD,82.0,1393.1799999999998
1800 Reposado Gold Tequila,1907.0,25824.73
1800 Silver Tequila,1452.0,21440.48
1800 Silver w/ Shot Glasses,45.0,989.55
1800 Ultimate Margarita RTD,192.0,3838.08
1800 Ultimate Peach Margrita,190.0,3798.0999999999995
19 Crimes Cab Svgn,175.0,1748.25
19 Crimes Red,694.0,5517.3
24 Knots Pnt Nr,33.0,593.67
260 Vodka,24.0,671.76
3 Ball Znfdl,52.0,675.48
3 Blind Moose Cab Svgn Cal,7.0,62.93
3 Blind Moose Chard Cal,13.0,116.87
3 Blind Moose Merlot Cal,19.0,170.81
3 Brooms Svgn Bl Marlborough,72.0,1079.28
360 Double Chocolate Vodka,157.0,2039.43
44* North Huckleberry Vodka,3.0,67.47
99 Apples Schnapps Liqueur,175.0,2098.25
99 Bananas,220.0,2637.8
99 Blackberries,1050.0,1787.5
A Bichot Chablis Long Depaqt,18.0,323.82
A Bichot Chard Bourgogne,23.0,367.77
A Bichot Macon-Villages,45.0,584.55
A Bichot Morgon Les Charmes,45.0,854.55
A Bichot Pnt Nr Bourgogne,26.0,415.74
A Bichot Pouilly-Fuisse,12.0,251.88
A Bichot Rochegres 14 Moulin,5.0,229.95000000000002
A Bichot Secret de Fam PN,9.0,179.91
A Bichot St-Amour Champlette,75.0,1424.25
A Innocenti Nonni Cab Svgn,12.0,155.88
A Proper Claret,9.0,143.91
A by Acacia Chard Cal,194.0,1938.06
A by Acacia Pnt Nr Cal,351.0,4910.49
A by Acacia Unoaked Chard Ca,148.0,1478.52
A to Z Ore Chard,217.0,3252.83
A to Z Pnt Gris Ore,406.0,6085.9400000000005
A to Z Pnt Nr Ore,737.0,12521.63
Aberfeldy 12 Yr Single Malt,64.0,2879.36
Aberfeldy 21 Yr Single Malt,4.0,639.96
Aberfeldy Single Cask,50.0,12499.5
Aberlour 16 Year Old Single,73.0,4379.27
Aberlour A'Bunadh Sngle Malt,105.0,7873.949999999999
Aberlour Glenlivet 12 Yr,123.0,5164.77
Absente 'Absinthe Refined',129.0,4384.71
Absinthe Ordinaire,94.0,2161.06
Absolut 80 Proof,8595.0,133574.05
Absolut Apeach,276.0,5005.24
Absolut Berri Acai,93.0,1673.07
Absolut Cilantro,2.0,39.98
Absolut Citron,2717.0,28784.829999999998
Absolut Lime Vodka,0.0,0.0
Absolut Mandrin,1518.0,18167.82
Absolut Mini Bar 5/50mls,509.0,4066.91
Absolut Pears,347.0,5114.53
Absolut Peppar,247.0,4443.53
Absolut Raspberri,316.0,5718.839999999999
Absolut Ruby Red,796.0,18062.039999999997
Absolut Vanilia,1645.0,8933.55
Achaval Ferrer Cab Svgn,3.0,68.97
