Description,Total_Product_Revenue,Total_Product_Quantity,Average_Revenue_Per_Unit
(RI) 1,36.99,1.0,36.99
14 Hands Cab Svgn Wash,854.16,72.0,11.725652173913044
14 Hands Chard Wash,77.85,7.0,10.774
14 Hands Hot to Trot Red,439.6,40.0,10.99
14 Hands Merlot Wash,263.61,23.0,11.483333333333334
14 Hands Pinot Grigio,52.91,5.0,10.581999999999999
14 Hands Svgn Bl,10.99,1.0,10.99
1800 Anejo Tequila,167.96,4.0,41.99
1800 Coconut Tequila,315.88,12.0,26.418571428571425
1800 Reposado Gold Tequila,617.7,40.0,16.79
1800 Silver Tequila,796.18,32.0,25.138148148148147
1800 Ultimate Margarita RTD,299.84999999999997,15.0,19.99
1800 Ultimate Peach Margrita,19.99,1.0,19.99
19 Crimes Cab Svgn,349.65,35.0,9.99
19 Crimes Red,779.22,78.0,9.99
24 Knots Pnt Nr,223.84,16.0,13.99
99 Apples Schnapps Liqueur,351.77,23.0,15.75470588235294
99 Bananas,239.85,15.0,15.990000000000002
A Bichot Chablis Long Depaqt,71.96,4.0,17.99
A Bichot Chard Bourgogne,15.99,1.0,15.99
A Bichot Macon-Villages,12.99,1.0,12.99
A Bichot Pnt Nr Bourgogne,15.99,1.0,15.99
A Bichot Pouilly-Fuisse,41.98,2.0,20.99
A Bichot St-Amour Champlette,208.89,11.0,18.99
A by Acacia Pnt Nr Cal,89.94,6.0,14.99
A by Acacia Unoaked Chard Ca,9.99,1.0,9.99
A to Z Ore Chard,47.97,3.0,15.99
A to Z Pnt Gris Ore,63.96,4.0,15.99
A to Z Pnt Nr Ore,551.72,28.0,19.80818181818182
Aberlour 16 Year Old Single,341.94,6.0,56.989999999999995
Aberlour Glenlivet 12 Yr,199.95000000000002,5.0,39.99
Absinthe Ordinaire,321.86,14.0,22.99
Absolut 80 Proof,14533.91,709.0,18.303609467455622
Absolut Apeach,233.86999999999998,13.0,17.99
Absolut Berri Acai,179.89999999999998,10.0,17.99
Absolut Citron,2582.49,151.0,17.76906976744186
Absolut Grapevine Vodka,57.96,4.0,14.49
